id,label,strata
b01_h001_01_strata_a,MO,N
b01_h001_01_strata_b,MO,N
b01_h001_01_strata_c,MO,N
b01_h001_02_strata_a,MO,N
b01_h001_02_strata_b,MO,N
b01_h001_02_strata_c,MO,N
b01_h001_03_strata_a,MO,N
b01_h001_03_strata_b,MO,N
b01_h001_03_strata_c,MO,N
b01_h001_04_strata_a,MO,N
b01_h001_04_strata_b,MO,N
b01_h001_04_strata_c,MO,N
b01_h001_05_strata_a,MO,N
b01_h001_05_strata_b,MO,N
b01_h001_05_strata_c,MO,N
b01_h001_06_strata_a,MO,N
b01_h001_06_strata_b,MO,N
b01_h001_06_strata_c,MO,N
b01_h001_07_strata_a,MO,N
b01_h001_07_strata_b,MO,N
b01_h001_07_strata_c,MO,N
b01_h001_08_strata_a,MO,N
b01_h001_08_strata_b,MO,N
b01_h001_08_strata_c,MO,N
b01_h001_09_strata_a,MO,N
b01_h001_09_strata_b,MO,N
b01_h001_09_strata_c,MO,N
b01_h002_01_strata_a,MO,S
b01_h002_01_strata_b,MO,S
b01_h002_01_strata_c,MO,S
b01_h002_02_strata_a,MOT,S
b01_h002_02_strata_b,MOT,S
b01_h002_02_strata_c,MOT,S
b01_h002_03_strata_a,MO,S
b01_h002_03_strata_b,MO,S
b01_h002_03_strata_c,MO,S
b01_h002_04_strata_a,MO,S
b01_h002_04_strata_b,MO,S
b01_h002_04_strata_c,MO,S
b01_h002_05_strata_a,MO,S
b01_h002_05_strata_b,MO,S
b01_h002_05_strata_c,MO,S
b01_h002_06_strata_a,MO,S
b01_h002_06_strata_b,MO,S
b01_h002_06_strata_c,MO,S
b01_h002_07_strata_a,MOT,S
b01_h002_07_strata_b,MOT,S
b01_h002_07_strata_c,MOT,S
b01_h002_08_strata_a,MO,S
b01_h002_08_strata_b,MO,S
b01_h002_08_strata_c,MO,S
b01_h002_09_strata_a,MO,S
b01_h002_09_strata_b,MO,S
b01_h002_09_strata_c,MO,S
b01_h003_01_strata_a,MO,S
b01_h003_01_strata_b,MO,S
b01_h003_01_strata_c,MO,S
b01_h003_02_strata_a,MO,S
b01_h003_02_strata_b,MO,S
b01_h003_02_strata_c,MO,S
b01_h003_03_strata_a,MO,S
b01_h003_03_strata_b,MO,S
b01_h003_03_strata_c,MO,S
b01_h003_04_strata_a,MOT,N
b01_h003_04_strata_b,MOT,N
b01_h003_04_strata_c,MOT,N
b01_h003_05_strata_a,MOT,N
b01_h003_05_strata_b,MOT,N
b01_h003_05_strata_c,MOT,N
b01_h003_06_strata_a,MOT,N
b01_h003_06_strata_b,MOT,N
b01_h003_06_strata_c,MOT,N
b01_h003_07_strata_a,MO,S
b01_h003_07_strata_b,MO,S
b01_h003_07_strata_c,MO,S
b01_h003_08_strata_a,MO,S
b01_h003_08_strata_b,MO,S
b01_h003_08_strata_c,MO,S
b01_h003_09_strata_a,MO,S
b01_h003_09_strata_b,MO,S
b01_h003_09_strata_c,MO,S
b01_h003_10_strata_a,MO,S
b01_h003_10_strata_b,MO,S
b01_h003_10_strata_c,MO,S
b01_h003_11_strata_a,MO,S
b01_h003_11_strata_b,MO,S
b01_h003_11_strata_c,MO,S
b01_h003_12_strata_a,MO,S
b01_h003_12_strata_b,MO,S
b01_h003_12_strata_c,MO,S
b01_h004_01_strata_a,MO,s
b01_h004_01_strata_b,MO,s
b01_h004_01_strata_c,MO,s
b01_h004_02_strata_a,MO,s
b01_h004_02_strata_b,MO,s
b01_h004_02_strata_c,MO,s
b01_h004_03_strata_a,MO,s
b01_h004_03_strata_b,MO,s
b01_h004_03_strata_c,MO,s
b01_h004_04_strata_a,MO,s
b01_h004_04_strata_b,MO,s
b01_h004_04_strata_c,MO,s
b01_h004_05_strata_a,MO,s
b01_h004_05_strata_b,MO,s
b01_h004_05_strata_c,MO,s
b01_h004_06_strata_a,MO,s
b01_h004_06_strata_b,MO,s
b01_h004_06_strata_c,MO,s
b01_h004_07_strata_a,MO,s
b01_h004_07_strata_b,MO,s
b01_h004_07_strata_c,MO,s
b01_h004_08_strata_a,MO,s
b01_h004_08_strata_b,MO,s
b01_h004_08_strata_c,MO,s
b01_h004_09_strata_a,MO,s
b01_h004_09_strata_b,MO,s
b01_h004_09_strata_c,MO,s
b01_h004_10_strata_a,MO,s
b01_h004_10_strata_b,MO,s
b01_h004_10_strata_c,MO,s
b01_h005_01_strata_a,MO,s
b01_h005_01_strata_b,MO,s
b01_h005_01_strata_c,MO,s
b01_h005_02_strata_a,MO,s
b01_h005_02_strata_b,MO,s
b01_h005_02_strata_c,MO,s
b01_h005_03_strata_a,MO,s
b01_h005_03_strata_b,MO,s
b01_h005_03_strata_c,MO,s
b01_h005_04_strata_a,MO,s
b01_h005_04_strata_b,MO,s
b01_h005_04_strata_c,MOR,s
b01_h005_05_strata_a,MO,s
b01_h005_05_strata_b,MO,s
b01_h005_05_strata_c,MO,s
b01_h005_06_strata_a,MO,s
b01_h005_06_strata_b,MO,s
b01_h005_06_strata_c,MO,s
b01_h005_07_strata_a,MO,s
b01_h005_07_strata_b,MO,s
b01_h005_07_strata_c,MO,s
b01_h005_08_strata_a,MO,s
b01_h005_08_strata_b,MO,s
b01_h005_08_strata_c,MO,s
b01_h005_09_strata_a,MO,s
b01_h005_09_strata_b,MO,s
b01_h005_09_strata_c,MO,s
b01_h005_10_strata_a,MO,s
b01_h005_10_strata_b,MO,s
b01_h005_10_strata_c,MO,s
b01_h006_01_strata_a,MO,s
b01_h006_01_strata_b,MO,s
b01_h006_01_strata_c,MO,s
b01_h006_02_strata_a,MO,s
b01_h006_02_strata_b,MO,s
b01_h006_02_strata_c,MO,s
b01_h006_03_strata_a,MO,s
b01_h006_03_strata_b,MO,s
b01_h006_03_strata_c,MO,s
b01_h006_04_strata_a,MO,s
b01_h006_04_strata_b,MO,s
b01_h006_04_strata_c,MO,s
b01_h006_05_strata_a,MO,s
b01_h006_05_strata_b,MO,s
b01_h006_05_strata_c,MO,s
b01_h006_06_strata_a,MO,s
b01_h006_06_strata_b,MO,s
b01_h006_06_strata_c,MO,s
b01_h006_07_strata_a,MO,s
b01_h006_07_strata_b,MO,s
b01_h006_07_strata_c,MO,s
b01_h006_08_strata_a,MO,s
b01_h006_08_strata_b,MO,s
b01_h006_08_strata_c,MO,s
b01_h006_09_strata_a,MO,s
b01_h006_09_strata_b,MO,s
b01_h006_09_strata_c,MO,s
b01_h006_10_strata_a,MO,s
b01_h006_10_strata_b,MO,s
b01_h006_10_strata_c,MO,s
b01_h007_01_strata_a,MO,s
b01_h007_01_strata_b,MO,s
b01_h007_01_strata_c,MO,s
b01_h007_02_strata_a,MO,s
b01_h007_02_strata_b,MO,s
b01_h007_02_strata_c,MO,s
b01_h007_03_strata_a,MO,s
b01_h007_03_strata_b,MO,s
b01_h007_03_strata_c,MO,s
b01_h007_04_strata_a,MO,s
b01_h007_04_strata_b,MO,s
b01_h007_04_strata_c,MO,s
b01_h007_05_strata_a,MO,s
b01_h007_05_strata_b,MO,s
b01_h007_05_strata_c,MO,s
b01_h007_06_strata_a,MO,s
b01_h007_06_strata_b,MO,s
b01_h007_06_strata_c,MO,s
b01_h007_07_strata_a,MO,s
b01_h007_07_strata_b,MO,s
b01_h007_07_strata_c,MO,s
b01_h007_08_strata_a,MO,s
b01_h007_08_strata_b,MO,s
b01_h007_08_strata_c,MO,s
b01_h007_09_strata_a,MO,s
b01_h007_09_strata_b,MO,s
b01_h007_09_strata_c,MO,s
b01_h007_10_strata_a,MO,s
b01_h007_10_strata_b,MO,s
b01_h007_10_strata_c,MO,s
b01_h008_01_strata_a,MO,s
b01_h008_01_strata_b,MO,s
b01_h008_01_strata_c,MO,s
b01_h008_02_strata_a,MO,s
b01_h008_02_strata_b,MO,s
b01_h008_02_strata_c,MO,s
b01_h008_03_strata_a,MO,s
b01_h008_03_strata_b,MO,s
b01_h008_03_strata_c,MO,s
b01_h008_04_strata_a,MO,s
b01_h008_04_strata_b,MO,s
b01_h008_04_strata_c,MO,s
b01_h008_05_strata_a,MO,s
b01_h008_05_strata_b,MO,s
b01_h008_05_strata_c,MO,s
b01_h008_06_strata_a,MO,s
b01_h008_06_strata_b,MO,s
b01_h008_06_strata_c,MO,s
b01_h008_07_strata_a,MO,s
b01_h008_07_strata_b,MO,s
b01_h008_07_strata_c,MO,s
b01_h008_08_strata_a,MO,s
b01_h008_08_strata_b,MO,s
b01_h008_08_strata_c,MO,s
b01_h008_09_strata_a,MO,s
b01_h008_09_strata_b,MO,s
b01_h008_09_strata_c,MO,s
b01_h008_10_strata_a,MO,s
b01_h008_10_strata_b,MO,s
b01_h008_10_strata_c,MO,s
b01_h009_01_strata_a,MO,s
b01_h009_01_strata_b,MO,s
b01_h009_01_strata_c,MO,s
b01_h009_02_strata_a,MO,s
b01_h009_02_strata_b,MO,s
b01_h009_02_strata_c,MO,s
b01_h009_03_strata_a,MO,s
b01_h009_03_strata_b,MO,s
b01_h009_03_strata_c,MO,s
b01_h009_04_strata_a,MO,s
b01_h009_04_strata_b,MO,s
b01_h009_04_strata_c,MO,s
b01_h009_05_strata_a,MO,s
b01_h009_05_strata_b,MO,s
b01_h009_05_strata_c,MO,s
b01_h009_06_strata_a,MO,s
b01_h009_06_strata_b,MO,s
b01_h009_06_strata_c,MO,s
b01_h009_07_strata_a,MO,s
b01_h009_07_strata_b,MO,s
b01_h009_07_strata_c,MO,s
b01_h009_08_strata_a,MO,s
b01_h009_08_strata_b,MO,s
b01_h009_08_strata_c,MO,s
b01_h009_09_strata_a,MO,s
b01_h009_09_strata_b,MO,s
b01_h009_09_strata_c,MO,s
b01_h009_10_strata_a,MO,s
b01_h009_10_strata_b,MO,s
b01_h009_10_strata_c,MO,s
b01_h010_01_strata_a,M,N
b01_h010_01_strata_b,M,N
b01_h010_01_strata_c,M,N
b01_h010_01_strata_d,M,N
b01_h010_02_strata_a,M,N
b01_h010_02_strata_b,M,N
b01_h010_02_strata_c,M,N
b01_h010_02_strata_d,M,N
b01_h010_03_strata_a,M,N
b01_h010_03_strata_b,M,N
b01_h010_03_strata_c,M,N
b01_h010_03_strata_d,M,N
b01_h010_04_strata_a,M,N
b01_h010_04_strata_b,M,N
b01_h010_04_strata_c,M,N
b01_h010_04_strata_d,M,N
b01_h010_05_strata_a,M,N
b01_h010_05_strata_b,M,N
b01_h010_05_strata_c,M,N
b01_h010_05_strata_d,M,N
b01_h010_06_strata_a,M,N
b01_h010_06_strata_b,M,N
b01_h010_06_strata_c,M,N
b01_h010_06_strata_d,M,N
b01_h010_07_strata_a,M,N
b01_h010_07_strata_b,M,N
b01_h010_07_strata_c,M,N
b01_h010_07_strata_d,M,N
b01_h010_08_strata_a,M,N
b01_h010_08_strata_b,M,N
b01_h010_08_strata_c,M,N
b01_h010_08_strata_d,M,N
b01_h010_09_strata_a,M,N
b01_h010_09_strata_b,M,N
b01_h010_09_strata_c,M,N
b01_h010_09_strata_d,M,N
b01_h010_10_strata_a,M,N
b01_h010_10_strata_b,M,N
b01_h010_10_strata_c,M,N
b01_h010_10_strata_d,M,N
b01_h010_11_strata_a,M,N
b01_h010_11_strata_b,M,N
b01_h010_11_strata_c,M,N
b01_h010_11_strata_d,M,N
b01_h010_12_strata_a,M,N
b01_h010_12_strata_b,M,N
b01_h010_12_strata_c,M,N
b01_h010_12_strata_d,M,N
b01_h011_01_strata_a,M,N
b01_h011_01_strata_b,M,N
b01_h011_01_strata_c,M,N
b01_h011_01_strata_d,M,N
b01_h011_02_strata_a,M,N
b01_h011_02_strata_b,M,N
b01_h011_02_strata_c,M,N
b01_h011_02_strata_d,M,N
b01_h011_03_strata_a,M,N
b01_h011_03_strata_b,M,N
b01_h011_03_strata_c,M,N
b01_h011_03_strata_d,M,N
b01_h011_04_strata_a,M,N
b01_h011_04_strata_b,M,N
b01_h011_04_strata_c,M,N
b01_h011_04_strata_d,M,N
b01_h011_05_strata_a,M,N
b01_h011_05_strata_b,M,N
b01_h011_05_strata_c,M,N
b01_h011_05_strata_d,M,N
b01_h011_06_strata_a,M,N
b01_h011_06_strata_b,M,N
b01_h011_06_strata_c,M,N
b01_h011_06_strata_d,M,N
b01_h011_07_strata_a,M,N
b01_h011_07_strata_b,M,N
b01_h011_07_strata_c,M,N
b01_h011_07_strata_d,M,N
b01_h011_08_strata_a,M,N
b01_h011_08_strata_b,M,N
b01_h011_08_strata_c,M,N
b01_h011_08_strata_d,M,N
b01_h012_01_strata_a,MO,N
b01_h012_01_strata_b,MO,N
b01_h012_01_strata_c,MO,N
b01_h012_02_strata_a,MO,N
b01_h012_02_strata_b,MO,N
b01_h012_02_strata_c,MO,N
b01_h012_03_strata_a,MO,N
b01_h012_03_strata_b,MO,N
b01_h012_03_strata_c,MO,N
b01_h012_04_strata_a,MO,N
b01_h012_04_strata_b,MO,N
b01_h012_04_strata_c,MO,N
b01_h012_05_strata_a,MO,N
b01_h012_05_strata_b,MO,N
b01_h012_05_strata_c,MO,N
b01_h012_06_strata_a,MO,N
b01_h012_06_strata_b,MO,N
b01_h012_06_strata_c,MO,N
b01_h012_07_strata_a,MO,N
b01_h012_07_strata_b,MO,N
b01_h012_07_strata_c,MO,N
b01_h012_08_strata_a,MO,N
b01_h012_08_strata_b,MO,N
b01_h012_08_strata_c,MO,N
b01_h012_09_strata_a,MO,N
b01_h012_09_strata_b,MO,N
b01_h012_09_strata_c,MO,N
b01_h012_10_strata_a,MO,N
b01_h012_10_strata_b,MOR,N
b01_h012_10_strata_c,MO,N
b01_h012_11_strata_a,MO,N
b01_h012_11_strata_b,MO,N
b01_h012_11_strata_c,MO,N
b01_h012_12_strata_a,MO,N
b01_h012_12_strata_b,MO,N
b01_h012_12_strata_c,MO,N
b01_h013_01_strata_a,MO,C
b01_h013_01_strata_b,MO,C
b01_h013_01_strata_c,MO,C
b01_h013_02_strata_a,MO,C
b01_h013_02_strata_b,MO,C
b01_h013_02_strata_c,MO,C
b01_h013_03_strata_a,MO,C
b01_h013_03_strata_b,MO,C
b01_h013_03_strata_c,MO,C
b01_h013_04_strata_a,MO,C
b01_h013_04_strata_b,MO,C
b01_h013_04_strata_c,MO,C
b01_h013_05_strata_a,MO,C
b01_h013_05_strata_b,MO,C
b01_h013_05_strata_c,MO,C
b01_h013_06_strata_a,MO,C
b01_h013_06_strata_b,MO,C
b01_h013_06_strata_c,MO,C
b01_h013_07_strata_a,MO,C
b01_h013_07_strata_b,MOR,C
b01_h013_07_strata_c,MO,C
b01_h013_08_strata_a,MO,C
b01_h013_08_strata_b,MO,C
b01_h013_08_strata_c,MO,C
b01_h013_09_strata_a,MO,C
b01_h013_09_strata_b,MO,C
b01_h013_09_strata_c,MO,C
b01_h013_10_strata_a,MO,C
b01_h013_10_strata_b,MO,C
b01_h013_10_strata_c,MOR,C
b01_h013_11_strata_a,MO,C
b01_h013_11_strata_b,MO,C
b01_h013_11_strata_c,MO,C
b01_h013_12_strata_a,MO,C
b01_h013_12_strata_b,MO,C
b01_h013_12_strata_c,MO,C
b01_h014_01_strata_a,MO,N
b01_h014_01_strata_b,MO,N
b01_h014_01_strata_c,MO,N
b01_h014_02_strata_a,MO,N
b01_h014_02_strata_b,MO,N
b01_h014_02_strata_c,MO,N
b01_h014_03_strata_a,MO,N
b01_h014_03_strata_b,MO,N
b01_h014_03_strata_c,MO,N
b01_h014_04_strata_a,MO,N
b01_h014_04_strata_b,MO,N
b01_h014_04_strata_c,MO,N
b01_h014_05_strata_a,MO,N
b01_h014_05_strata_b,MO,N
b01_h014_05_strata_c,MO,N
b01_h014_06_strata_a,MO,N
b01_h014_06_strata_b,MO,N
b01_h014_06_strata_c,MO,N
b01_h014_07_strata_a,MO,N
b01_h014_07_strata_b,MO,N
b01_h014_07_strata_c,MO,N
b01_h014_08_strata_a,MO,N
b01_h014_08_strata_b,MO,N
b01_h014_08_strata_c,MO,N
b01_h014_09_strata_a,MO,N
b01_h014_09_strata_b,MO,N
b01_h014_09_strata_c,MO,N
b01_h014_10_strata_a,MO,N
b01_h014_10_strata_b,MO,N
b01_h014_10_strata_c,MO,N
b01_h014_11_strata_a,MO,N
b01_h014_11_strata_b,MO,N
b01_h014_11_strata_c,MO,N
b01_h014_12_strata_a,MO,N
b01_h014_12_strata_b,MO,N
b01_h014_12_strata_c,MO,N
b01_h015_01_strata_a,MO,N
b01_h015_01_strata_b,MO,N
b01_h015_01_strata_c,MO,N
b01_h015_02_strata_a,MO,N
b01_h015_02_strata_b,MO,N
b01_h015_02_strata_c,MO,N
b01_h015_03_strata_a,MO,N
b01_h015_03_strata_b,MO,N
b01_h015_03_strata_c,MO,N
b01_h015_04_strata_a,MOR,N
b01_h015_04_strata_b,MO,N
b01_h015_04_strata_c,MO,N
b01_h015_05_strata_a,MO,N
b01_h015_05_strata_b,MO,N
b01_h015_05_strata_c,MO,N
b01_h015_06_strata_a,MO,N
b01_h015_06_strata_b,MO,N
b01_h015_06_strata_c,MO,N
b01_h015_07_strata_a,MO,N
b01_h015_07_strata_b,MO,N
b01_h015_07_strata_c,MO,N
b01_h015_08_strata_a,MO,N
b01_h015_08_strata_b,MO,N
b01_h015_08_strata_c,MO,N
b01_h015_09_strata_a,MO,N
b01_h015_09_strata_b,MO,N
b01_h015_09_strata_c,MO,N
b01_h015_10_strata_a,MO,N
b01_h015_10_strata_b,MO,N
b01_h015_10_strata_c,MO,N
b01_h015_11_strata_a,MO,N
b01_h015_11_strata_b,MO,N
b01_h015_11_strata_c,MO,N
b01_h015_12_strata_a,MO,N
b01_h015_12_strata_b,MO,N
b01_h015_12_strata_c,MO,N
b01_h016_01_strata_a,MO,N
b01_h016_01_strata_b,MO,N
b01_h016_01_strata_c,MO,N
b01_h016_02_strata_a,MO,N
b01_h016_02_strata_b,MO,N
b01_h016_02_strata_c,MO,N
b01_h016_03_strata_a,MO,N
b01_h016_03_strata_b,MO,N
b01_h016_03_strata_c,MO,N
b01_h016_04_strata_a,MO,N
b01_h016_04_strata_b,MO,N
b01_h016_04_strata_c,MO,N
b01_h016_05_strata_a,MO,N
b01_h016_05_strata_b,MO,N
b01_h016_05_strata_c,MO,N
b01_h016_06_strata_a,MO,N
b01_h016_06_strata_b,MO,N
b01_h016_06_strata_c,MO,N
b01_h016_07_strata_a,MO,N
b01_h016_07_strata_b,MO,N
b01_h016_07_strata_c,MO,N
b01_h016_08_strata_a,MO,N
b01_h016_08_strata_b,MO,N
b01_h016_08_strata_c,MO,N
b01_h016_09_strata_a,MO,N
b01_h016_09_strata_b,MO,N
b01_h016_09_strata_c,MO,N
b01_h017_01_strata_a,MO,N
b01_h017_01_strata_b,MO,N
b01_h017_01_strata_c,MO,N
b01_h017_02_strata_a,MO,N
b01_h017_02_strata_b,MO,N
b01_h017_02_strata_c,MO,N
b01_h017_03_strata_a,MO,N
b01_h017_03_strata_b,MO,N
b01_h017_03_strata_c,MO,N
b01_h017_04_strata_a,MO,N
b01_h017_04_strata_b,MO,N
b01_h017_04_strata_c,MO,N
b01_h017_05_strata_a,MO,N
b01_h017_05_strata_b,MO,N
b01_h017_05_strata_c,MO,N
b01_h017_06_strata_a,MO,N
b01_h017_06_strata_b,MO,N
b01_h017_06_strata_c,MO,N
b01_h017_07_strata_a,MO,N
b01_h017_07_strata_b,MO,N
b01_h017_07_strata_c,MO,N
b01_h017_08_strata_a,MO,N
b01_h017_08_strata_b,MO,N
b01_h017_08_strata_c,MO,N
b01_h017_09_strata_a,MO,N
b01_h017_09_strata_b,MO,N
b01_h017_09_strata_c,MO,N
b01_h018_01_strata_a,MO,N
b01_h018_01_strata_b,MO,N
b01_h018_01_strata_c,MO,N
b01_h018_02_strata_a,MO,N
b01_h018_02_strata_b,MO,N
b01_h018_02_strata_c,MO,N
b01_h018_03_strata_a,MO,N
b01_h018_03_strata_b,MO,N
b01_h018_03_strata_c,MO,N
b01_h018_04_strata_a,MO,N
b01_h018_04_strata_b,MO,N
b01_h018_04_strata_c,MO,N
b01_h018_05_strata_a,MO,N
b01_h018_05_strata_b,MO,N
b01_h018_05_strata_c,MO,N
b01_h018_06_strata_a,MO,N
b01_h018_06_strata_b,MO,N
b01_h018_06_strata_c,MO,N
b01_h018_07_strata_a,MO,N
b01_h018_07_strata_b,MO,N
b01_h018_07_strata_c,MO,N
b01_h018_08_strata_a,MO,N
b01_h018_08_strata_b,MO,N
b01_h018_08_strata_c,MO,N
b01_h018_09_strata_a,MO,N
b01_h018_09_strata_b,MO,N
b01_h018_09_strata_c,MO,N
b01_h019_01_strata_a,MO,N
b01_h019_01_strata_b,MO,N
b01_h019_01_strata_c,MO,N
b01_h019_02_strata_a,MO,N
b01_h019_02_strata_b,MO,N
b01_h019_02_strata_c,MOR,N
b01_h019_03_strata_a,MO,N
b01_h019_03_strata_b,MO,N
b01_h019_03_strata_c,MOR,N
b01_h019_04_strata_a,MO,N
b01_h019_04_strata_b,MO,N
b01_h019_04_strata_c,MOR,N
b01_h019_05_strata_a,MO,N
b01_h019_05_strata_b,MO,N
b01_h019_05_strata_c,MOR,N
b01_h019_06_strata_a,MO,N
b01_h019_06_strata_b,MO,N
b01_h019_06_strata_c,MOR,N
b01_h019_07_strata_a,MO,N
b01_h019_07_strata_b,MO,N
b01_h019_07_strata_c,MOR,N
b01_h019_08_strata_a,MO,N
b01_h019_08_strata_b,MO,N
b01_h019_08_strata_c,MOR,N
b01_h019_09_strata_a,MO,N
b01_h019_09_strata_b,MO,N
b01_h019_09_strata_c,MOR,N
b01_h020_01_strata_a,MO,N
b01_h020_01_strata_b,MO,N
b01_h020_01_strata_c,MO,N
b01_h020_02_strata_a,MO,N
b01_h020_02_strata_b,MO,N
b01_h020_02_strata_c,MO,N
b01_h020_03_strata_a,MO,N
b01_h020_03_strata_b,MO,N
b01_h020_03_strata_c,MO,N
b01_h020_04_strata_a,MO,N
b01_h020_04_strata_b,MO,N
b01_h020_04_strata_c,MO,N
b01_h020_05_strata_a,MO,N
b01_h020_05_strata_b,MO,N
b01_h020_05_strata_c,MO,N
b01_h020_06_strata_a,MO,N
b01_h020_06_strata_b,MO,N
b01_h020_06_strata_c,MO,N
b01_h020_07_strata_a,MO,N
b01_h020_07_strata_b,MO,N
b01_h020_07_strata_c,MO,N
b01_h020_08_strata_a,MO,N
b01_h020_08_strata_b,MO,N
b01_h020_08_strata_c,MO,N
b01_h021_01_strata_a,MO,N
b01_h021_01_strata_b,MO,N
b01_h021_01_strata_c,MO,N
b01_h021_02_strata_a,MO,N
b01_h021_02_strata_b,MO,N
b01_h021_02_strata_c,MO,N
b01_h021_03_strata_a,MO,N
b01_h021_03_strata_b,MO,N
b01_h021_03_strata_c,MO,N
b01_h021_04_strata_a,MO,N
b01_h021_04_strata_b,MOR,N
b01_h021_04_strata_c,MO,N
b01_h021_05_strata_a,MO,N
b01_h021_05_strata_b,MO,N
b01_h021_05_strata_c,MO,N
b01_h021_06_strata_a,MO,N
b01_h021_06_strata_b,MO,N
b01_h021_06_strata_c,MO,N
b01_h022_01_strata_a,MO,N
b01_h022_01_strata_b,MO,N
b01_h022_01_strata_c,MO,N
b01_h022_02_strata_a,MO,N
b01_h022_02_strata_b,MO,N
b01_h022_02_strata_c,MO,N
b01_h022_03_strata_a,MO,N
b01_h022_03_strata_b,MO,N
b01_h022_03_strata_c,MO,N
b01_h022_04_strata_a,MO,N
b01_h022_04_strata_b,MO,N
b01_h022_04_strata_c,MO,N
b01_h022_05_strata_a,MO,N
b01_h022_05_strata_b,MO,N
b01_h022_05_strata_c,MO,N
b01_h022_06_strata_a,MO,N
b01_h022_06_strata_b,MO,N
b01_h022_06_strata_c,MO,N
b01_h022_07_strata_a,MO,N
b01_h022_07_strata_b,MO,N
b01_h022_07_strata_c,MO,N
b01_h022_08_strata_a,MO,N
b01_h022_08_strata_b,MO,N
b01_h022_08_strata_c,MO,N
b01_h022_09_strata_a,MO,N
b01_h022_09_strata_b,MO,N
b01_h022_09_strata_c,MO,N
b01_h022_10_strata_a,MO,N
b01_h022_10_strata_b,MO,N
b01_h022_10_strata_c,MO,N
b01_h022_11_strata_a,MT,N
b01_h022_11_strata_b,MT,N
b01_h022_11_strata_c,MT,N
b01_h022_12_strata_a,MO,N
b01_h022_12_strata_b,MO,N
b01_h022_12_strata_c,MO,N
b01_h022_13_strata_a,MO,N
b01_h022_13_strata_b,MO,N
b01_h022_13_strata_c,MO,N
b01_h022_14_strata_a,MO,N
b01_h022_14_strata_b,MO,N
b01_h022_14_strata_c,MO,N
b01_h022_15_strata_a,MO,N
b01_h022_15_strata_b,MO,N
b01_h022_15_strata_c,MO,N
b01_h022_16_strata_a,MO,N
b01_h022_16_strata_b,MO,N
b01_h022_16_strata_c,MO,N
b01_h022_17_strata_a,MO,N
b01_h022_17_strata_b,MO,N
b01_h022_17_strata_c,MO,N
b01_h022_18_strata_a,MO,N
b01_h022_18_strata_b,MO,N
b01_h022_18_strata_c,MO,N
b01_h022_19_strata_a,MO,N
b01_h022_19_strata_b,MO,N
b01_h022_19_strata_c,MO,N
b01_h022_20_strata_a,MO,N
b01_h022_20_strata_b,MO,N
b01_h022_20_strata_c,MO,N
b01_h022_21_strata_a,MO,N
b01_h022_21_strata_b,MO,N
b01_h022_21_strata_c,MO,N
b01_h023_01_strata_a,MO,N
b01_h023_01_strata_b,MO,N
b01_h023_01_strata_c,MO,N
b01_h023_02_strata_a,MOR,N
b01_h023_02_strata_b,MO,N
b01_h023_02_strata_c,MOR,N
b01_h023_03_strata_a,MO,N
b01_h023_03_strata_b,MO,N
b01_h023_03_strata_c,MO,N
b01_h023_04_strata_a,MO,N
b01_h023_04_strata_b,MO,N
b01_h023_04_strata_c,MO,N
b01_h023_05_strata_a,MO,N
b01_h023_05_strata_b,MO,N
b01_h023_05_strata_c,MO,N
b01_h023_06_strata_a,MO,N
b01_h023_06_strata_b,MO,N
b01_h023_06_strata_c,MO,N
b01_h023_07_strata_a,MO,N
b01_h023_07_strata_b,MO,N
b01_h023_07_strata_c,MO,N
b01_h023_08_strata_a,MO,N
b01_h023_08_strata_b,MO,N
b01_h023_08_strata_c,MO,N
b01_h023_09_strata_a,MO,N
b01_h023_09_strata_b,MO,N
b01_h023_09_strata_c,MO,N
b01_h023_10_strata_a,MO,N
b01_h023_10_strata_b,MO,N
b01_h023_10_strata_c,MO,N
b01_h023_11_strata_a,MO,N
b01_h023_11_strata_b,MO,N
b01_h023_11_strata_c,MO,N
b01_h023_12_strata_a,MO,N
b01_h023_12_strata_b,MO,N
b01_h023_12_strata_c,MO,N
b01_h023_13_strata_a,MO,N
b01_h023_13_strata_b,MO,N
b01_h023_13_strata_c,MO,N
b01_h023_14_strata_a,MO,N
b01_h023_14_strata_b,MO,N
b01_h023_14_strata_c,MO,N
b01_h023_15_strata_a,MO,N
b01_h023_15_strata_b,MO,N
b01_h023_15_strata_c,MO,N
b01_h023_16_strata_a,PO,P
b01_h023_16_strata_b,PO,P
b01_h023_16_strata_c,PO,P
b01_h023_17_strata_a,PO,P
b01_h023_17_strata_b,PO,P
b01_h023_17_strata_c,PO,P
b01_h023_18_strata_a,PO,P
b01_h023_18_strata_b,PO,P
b01_h023_18_strata_c,PO,P
b01_h023_19_strata_a,P,P
b01_h023_19_strata_b,P,P
b01_h023_19_strata_c,P,P
b01_h023_20_strata_a,PE2,P
b01_h023_20_strata_b,PE2,P
b01_h023_20_strata_c,PE2,P
b01_h023_20_strata_d,PE2,P
b01_h023_21_strata_a,P,P
b01_h023_21_strata_b,P,P
b01_h023_21_strata_c,P,P
b01_h023_22_strata_a,PE2,P
b01_h023_22_strata_b,PE2,P
b01_h023_22_strata_c,PE2,P
b01_h023_22_strata_d,PE2,P
b01_h023_23_strata_a,PE2,P
b01_h023_23_strata_b,PE2,P
b01_h023_23_strata_c,PE2,P
b01_h023_23_strata_d,PE2,P
