,ref,inst,frag,norm,cf,sense,pos,unicode,unicode_word,reading,break,break_perc,mask,text,line,word
62970,Q003855.1.1,Nanna[1]DN,{d}nanna,,Nanna,1,DN,"['𒀭', '𒋀𒆠']",𒀭𒋀𒆠,{d}nanna,"['complete', 'complete']",0.0,DN,Q003855,1,1
62971,Q003855.1.2,lugal[king]N,lugal,,lugal,king,N,['𒈗'],𒈗,lugal,['complete'],0.0,,Q003855,1,2
62972,Q003855.1.3,Enlil[1]DN,{d}en-lil₂-e-ne,,Enlil,1,DN,"['𒀭', '𒂗', '𒆤', '𒂊', '𒉈']",𒀭𒂗𒆤𒂊𒉈,{d}en-lil₂-e-ne,"['complete', 'complete', 'complete', 'complete', 'complete']",0.0,DN,Q003855,1,3
62973,Q003855.2.1,lugal[king]N,lugal-a-ni,,lugal,king,N,"['𒈗', '𒀀', '𒉌']",𒈗𒀀𒉌,lugal-a-ni,"['complete', 'complete', 'complete']",0.0,,Q003855,2,1
62974,Q003855.3.1,Sin-balassu-iqbi[governor of Ur]PN,{m}{d}EN.ZU-TI.LA.BI-DU₁₁.GA,Sin-balassu-iqbi,Sin-balassu-iqbi,governor of Ur,PN,"['𒁹', '𒀭', '𒂗', '𒍪', '𒋾', '𒆷', '𒁉', '𒅗', '𒂵']",𒁹𒀭𒂗𒍪𒋾𒆷𒁉𒅗𒂵,{m}{d}EN.ZU-TI.LA.BI-DU₁₁.GA,"['complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete', 'complete']",0.0,PN,Q003855,3,1
62975,Q003855.4.1,šakkanak[general]N,šagina,,šakkanak,"general, governor-general",N,['𒄊𒀴'],𒄊𒀴,šagina,['complete'],0.0,,Q003855,4,1
62976,Q003855.4.2,Uri[Ur]SN,uri₂{ki}ma,,Uri,Ur,SN,"['𒋀𒀕', '𒆠', '𒈠']",𒋀𒀕𒆠𒈠,uri₂{KI}ma,"['complete', 'complete', 'complete']",0.0,,Q003855,4,2
62977,Q003855.5.1,ua[provisioner]N,u₂-a,,ua,provisioner,N,"['𒌑', '𒀀']",𒌑𒀀,u₂-a,"['complete', 'complete']",0.0,,Q003855,5,1
62978,Q003855.5.2,Eridu[1]SN,eridu{ki}ga,,Eridu,1,SN,"['𒉣', '𒆠', '𒂵']",𒉣𒆠𒂵,eridu{KI}ga,"['complete', 'complete', 'complete']",0.0,,Q003855,5,2
62979,Q003855.6.1,Eanšar[]TN/e₂-an-šar₂#~,e₂-an-šar₂,,Eanšar,1,TN,"['𒂍', '𒀭', '𒊹']",𒂍𒀭𒊹,e₂-an-šar₂,"['complete', 'complete', 'complete']",0.0,,Q003855,6,1
62980,Q003855.7.1,kituš[dwelling place]N,ki-tuš,,kituš,dwelling place,N,"['𒆠', '𒆪']",𒆠𒆪,ki-tuš,"['complete', 'complete']",0.0,,Q003855,7,1
62981,Q003855.7.2,namlugal[kingship]N,nam-lugal-la-ni,,namlugal,kingship,N,"['𒉆', '𒈗', '𒆷', '𒉌']",𒉆𒈗𒆷𒉌,nam-lugal-la-ni,"['complete', 'complete', 'complete', 'complete']",0.0,,Q003855,7,2
62982,Q003855.8.1,"du[to build, make]V/t",mu-na-du₃,,du,"to build, make",V/t,"['𒈬', '𒈾', '𒆕']",𒈬𒈾𒆕,mu-na-du₃,"['complete', 'complete', 'complete']",0.0,,Q003855,8,1
